uniprot_id,gene_name,protein_name,seq_length,embed_idx
A0A1X2LNW5,B8W66_22860,Cell division protein DivIVA,121,17575
A0A1X2LQW0,B8W66_19015,FAD-binding oxidoreductase,955,17576
A0A1X2LTQ5,B8W66_13235,Uncharacterized protein,411,17577
A0A1X2M1H9,B8W66_00925,DNA recombination-mediator protein A,206,17578
A0A1X2LQW6,B8W66_19340,Glycine/betaine ABC transporter substrate-binding protein,304,17579
A0A1X2LR62,B8W66_18660,histidine kinase,485,17580
A0A1X2LRU8,B8W66_17005,Cupin,147,17581
A0A1X2LS14,prcA,Proteasome subunit alpha,247,17582
A0A1X2LUI7,B8W66_12645,PE family protein,490,17583
A0A1X2LWX7,B8W66_08115,Probable hydrogen peroxide-inducible genes activator,311,17584
A0A1X2LXJ8,B8W66_07245,Cupin,116,17585
A0A1X2LR18,B8W66_18745,Carboxyvinyl-carboxyphosphonate phosphorylmutase,276,17586
A0A1X2LRF7,B8W66_20935,Uncharacterized protein,180,17587
A0A1X2LSZ0,B8W66_15495,PPE domain-containing protein,290,17588
A0A1X2LVF5,B8W66_11020,Glycosyl transferase,343,17589
A0A1X2LYQ1,B8W66_04425,CDP-diacylglycerol--glycerol-3-phosphate 1-phosphatidyltransferase,206,17590
A0A1X2LG82,B8W66_23760,Uncharacterized protein (Fragment),94,17591
A0A1X2LT52,B8W66_14930,Aldehyde dehydrogenase,508,17592
A0A1X2LU91,B8W66_15400,DUF1440 domain-containing protein,178,17593
A0A1X2LYA7,B8W66_06220,Adenylate/guanylate cyclase domain-containing protein,519,17594
A0A1X2LP00,B8W66_22325,Uncharacterized protein,338,17595
A0A1X2LS94,B8W66_16790,Uncharacterized protein,66,17596
A0A1X2M180,B8W66_02450,Diacylglycerol O-acyltransferase,490,17597
A0A1X2LX12,B8W66_07755,C-5 sterol desaturase,304,17598
A0A1X2LUJ5,B8W66_12265,Major facilitator superfamily (MFS) profile domain-containing protein,423,17599
A0A1X2LVU3,B8W66_09220,Flavin-nucleotide-binding protein,229,17600
A0A1X2LYS6,B8W66_05275,DNA-binding protein,215,17601
A0A1X2LPB1,B8W66_22100,Oxygenase,504,17602
A0A1X2LQF4,B8W66_20170,Enoyl-CoA hydratase,263,17603
A0A1X2LQU6,B8W66_19150,HTH lysR-type domain-containing protein,316,17604
A0A1X2LR41,B8W66_18955,histidine kinase,562,17605
A0A1X2LS83,B8W66_16375,acetyl-CoA C-acyltransferase,379,17606
A0A1X2LX92,B8W66_08195,Acyl-CoA dehydrogenase,386,17607
A0A1X2LZA5,B8W66_03175,Mycothiol-dependent maleylpyruvate isomerase metal-binding domain-containing pro,209,17608
A0A1X2M135,B8W66_02525,Cytochrome,404,17609
A0A1X2LXF2,B8W66_06965,Glycosyl transferase family 3 domain-containing protein,379,17610
A0A1X2LYQ0,B8W66_04435,Cell division protein FtsK,794,17611
A0A1X2LNX5,tam,Trans-aconitate 2-methyltransferase,261,17612
A0A1X2LSW3,B8W66_15355,Uncharacterized protein,136,17613
A0A1X2LTF4,B8W66_14480,Pyridoxamine 5-phosphate oxidase,173,17614
A0A1X2LTR9,B8W66_13290,Vegetative cell wall protein,360,17615
A0A1X2LW55,B8W66_09585,RNA methyltransferase,256,17616
A0A1X2LX31,B8W66_08240,DUF4386 domain-containing protein,172,17617
A0A1X2LXD2,B8W66_06905,D amino acid oxidase (DAO) family protein,385,17618
A0A1X2LXD7,B8W66_06985,Alcohol dehydrogenase-like N-terminal domain-containing protein,325,17619
A0A1X2LZ67,B8W66_02930,Alkylmercury lyase,77,17620
A0A1X2LUL4,B8W66_14950,MCE-family protein,386,17621
A0A1X2LWG3,B8W66_08490,TetR family transcriptional regulator,203,17622
A0A1X2M1A0,B8W66_00460,Non-ribosomal peptide synthetase,1480,17623
A0A1X2LRP3,B8W66_17290,Fatty acid--CoA ligase,597,17624
A0A1X2LPF5,B8W66_21865,PE domain-containing protein,289,17625
A0A1X2LPL6,B8W66_21290,2-nitropropane dioxygenase,315,17626
A0A1X2LPY9,B8W66_21025,Alpha/beta hydrolase,294,17627
A0A1X2LST8,B8W66_15385,MFS transporter,471,17628
A0A1X2LSW7,B8W66_15405,Aminobenzoate oxygenase,274,17629
A0A1X2LTR4,B8W66_14235,Carboxymuconolactone decarboxylase-like domain-containing protein,192,17630
A0A1X2LWU2,B8W66_08600,HTH marR-type domain-containing protein,146,17631
A0A1X2LSJ6,B8W66_18495,ATPase,223,17632
A0A1X2M013,B8W66_00570,3-oxoacyl-ACP synthase,352,17633
A0A1X2LQW4,B8W66_19210,NADP-dependent oxidoreductase,343,17634
A0A1X2LUY5,B8W66_13940,Uncharacterized protein,60,17635
A0A1X2LVK9,murI,Glutamate racemase,271,17636
A0A1X2LY32,B8W66_06240,PPE family protein,413,17637
A0A1X2LQN7,B8W66_19355,FHA domain-containing protein,450,17638
A0A1X2LS11,serC,Phosphoserine aminotransferase,376,17639
A0A1X2LSM6,B8W66_15710,"Limonene-1,2-epoxide hydrolase",153,17640
A0A1X2LSS6,B8W66_15225,Nitroreductase domain-containing protein,423,17641
A0A1X2LVT8,lspA,Lipoprotein signal peptidase,202,17642
A0A1X2LZB1,B8W66_03030,DUF4440 domain-containing protein,137,17643
A0A1X2LSK5,B8W66_15650,S-adenosyl-L-methionine-dependent methyltransferase,311,17644
A0A1X2LT24,B8W66_15010,ABC transporter permease,279,17645
A0A1X2LTW8,B8W66_13635,Bacteriocin-protection protein,87,17646
A0A1X2LXR0,B8W66_08505,Alkyl/aryl-sulfatase,670,17647
A0A1X2LXT6,B8W66_05705,THIF-type NAD/FAD binding fold domain-containing protein,354,17648
A0A1X2LY55,B8W66_05380,Oxidoreductase molybdopterin-binding domain-containing protein,442,17649
A0A1X2M0B5,B8W66_01320,Pyridoxamine 5-phosphate oxidase,162,17650
A0A1X2M0Q6,B8W66_01620,Uncharacterized protein,178,17651
A0A1X2LUV9,uvrC,UvrABC system protein C,647,17652
A0A1X2LPB2,B8W66_21850,TetR family transcriptional regulator,210,17653
A0A1X2LVR3,B8W66_09910,Peptide ABC transporter permease,299,17654
A0A1X2LWQ4,B8W66_09015,Integral membrane protein,143,17655
A0A1X2LP17,B8W66_23320,PPE family protein,396,17656
A0A1X2LP91,B8W66_22025,Sulfurtransferase,127,17657
A0A1X2LR13,B8W66_18400,Ferritin-like diiron domain-containing protein,74,17658
A0A1X2LXM9,B8W66_07280,Protein kinase domain-containing protein,131,17659
A0A1X2LYL2,B8W66_04870,Alkaline phosphatase family protein,375,17660
A0A1X2LPE6,B8W66_21800,HTH tetR-type domain-containing protein,223,17661
A0A1X2LRJ6,B8W66_17835,Deoxyribodipyrimidine photolyase,447,17662
A0A1X2LTM2,B8W66_14190,Transmembrane protein,271,17663
A0A1X2LPE1,B8W66_21610,Type 2A encapsulin shell protein SrpI-like domain-containing protein,311,17664
A0A1X2LYT5,B8W66_04550,Tetratricopeptide repeat protein,151,17665
A0A1X2LZQ4,B8W66_04030,FMNH2-dependent monooxygenase,376,17666
A0A1X2LPG3,B8W66_21810,SAM-dependent methyltransferase,282,17667
A0A1X2LZC5,B8W66_03280,Protein disulfide reductase,208,17668
A0A1X2LGF8,B8W66_23730,Acyl transferase (Fragment),202,17669
A0A1X2LNQ0,B8W66_23015,protein-serine/threonine phosphatase,261,17670
A0A1X2LNV7,B8W66_22645,Acyl-CoA synthetase,545,17671
A0A1X2LTU7,B8W66_13980,ATP-binding protein,131,17672
A0A1X2M0H8,B8W66_01630,HTH hxlR-type domain-containing protein,222,17673
A0A1X2M0J2,B8W66_03160,Uncharacterized protein,231,17674
A0A1X2LPX0,B8W66_20650,Reductase,1364,17675
A0A1X2M0K2,B8W66_01315,Sulfurtransferase,296,17676
A0A1X2M0R8,B8W66_01690,Diacylglycerol kinase,321,17677
A0A1X2LUR1,B8W66_12395,Aminotransferase,387,17678
A0A1X2LUV3,B8W66_11540,Uncharacterized protein,111,17679
A0A1X2LV12,B8W66_11805,PPE family protein,376,17680
A0A1X2LUE5,B8W66_12815,Gluconokinase,197,17681
A0A1X2LUT4,B8W66_14680,Uncharacterized protein,64,17682
A0A1X2LZU9,B8W66_00230,Mycofactocin radical SAM maturase,398,17683
A0A1X2LR96,B8W66_18165,HTH cro/C1-type domain-containing protein,370,17684
A0A1X2LTC4,B8W66_14610,Hemophore-related protein,110,17685
A0A1X2LTQ6,B8W66_13225,tRNA-guanine(15) transglycosylase-like domain-containing protein,470,17686
A0A1X2LTU1,B8W66_13510,Uncharacterized protein,129,17687
A0A1X2LWB8,B8W66_09730,Acyltransferase,472,17688
A0A1X2LYM3,B8W66_06590,Geranylgeranyl pyrophosphate synthase,352,17689
A0A1X2LYI2,B8W66_04705,Acyltransferase 3 domain-containing protein,427,17690
A0A1X2LPA0,B8W66_21790,DUF1772 domain-containing protein,164,17691
A0A1X2LPP2,B8W66_21100,Oxidoreductase,284,17692
A0A1X2LS77,B8W66_16760,Peptidase M24 family protein,375,17693
A0A1X2LSF0,B8W66_18825,Mutator family transposase,403,17694
A0A1X2LXN7,B8W66_05330,Cytochrome P450,482,17695
A0A1X2LZX5,B8W66_00565,DUF5671 domain-containing protein,375,17696
A0A1X2LP02,B8W66_22475,Uncharacterized protein,250,17697
A0A1X2LPC6,B8W66_21915,Prepilin peptidase,139,17698
A0A1X2LTS2,dnaX,DNA polymerase III subunit gamma/tau,597,17699
A0A1X2LUS7,B8W66_11545,FAD-dependent oxidoreductase,475,17700
A0A1X2LWF9,B8W66_08530,MmcQ/YjbR family DNA-binding protein,138,17701
A0A1X2LWN5,B8W66_07410,Amidohydrolase,402,17702
A0A1X2M054,khpA,RNA-binding protein KhpA,80,17703
A0A1X2M0M9,B8W66_01495,Rubredoxin,68,17704
A0A1X2LS96,B8W66_16865,SAM-dependent methyltransferase,247,17705
A0A1X2LSB3,B8W66_16045,DUF2505 domain-containing protein,187,17706
A0A1X2LU99,ilvC,Ketol-acid reductoisomerase (NADP(+)),337,17707
A0A1X2LJ06,B8W66_23590,Transposase IS204/IS1001/IS1096/IS1165 zinc-finger domain-containing protein,124,17708
A0A1X2LRJ0,B8W66_17545,Type VII secretion protein EsxD,107,17709
A0A1X2LRL6,B8W66_17870,SAM-dependent methyltransferase,327,17710
A0A1X2LTC5,B8W66_14280,Alpha/beta hydrolase,287,17711
A0A1X2LTY4,B8W66_13690,Short-chain dehydrogenase,303,17712
A0A1X2LMX2,ligA,DNA ligase,699,17713
A0A1X2LQ54,B8W66_20675,ABC transporter domain-containing protein,739,17714
A0A1X2LS17,B8W66_16835,RNA polymerase sigma factor,184,17715
A0A1X2LSC7,B8W66_16860,Precorrin-3B synthase,363,17716
A0A1X2LY01,B8W66_05725,Acyl-CoA thioesterase II,297,17717
A0A1X2M0V0,B8W66_01900,Site-specific integrase,334,17718
A0A1X2LP57,B8W66_22600,inositol-3-phosphate synthase,416,17719
A0A1X2LQ73,B8W66_20235,IclR family transcriptional regulator,279,17720
A0A1X2LT28,B8W66_14860,NADH-ubiquinone oxidoreductase 51kDa subunit iron-sulphur binding domain-contain,434,17721
A0A1X2LT84,B8W66_14360,AAA family ATPase,264,17722
A0A1X2LTQ0,B8W66_13315,PPE domain-containing protein,394,17723
A0A1X2LW05,B8W66_09670,Polyketide synthase,2129,17724
A0A1X2LWZ5,B8W66_07700,Dehydratase,168,17725
A0A1X2LM45,B8W66_23420,Radical SAM protein,512,17726
A0A1X2LR39,B8W66_18970,PknH-like extracellular domain-containing protein,270,17727
A0A1X2LSJ4,B8W66_15725,"6-carboxy-5,6,7,8-tetrahydropterin synthase",177,17728
A0A1X2LTI0,B8W66_13930,Cytochrome,100,17729
A0A1X2LYK0,B8W66_05015,Uncharacterized protein,82,17730
A0A1X2LZW5,B8W66_00020,Integrase catalytic domain-containing protein,340,17731
A0A1X2M0W3,B8W66_02465,LLM class F420-dependent oxidoreductase,291,17732
A0A1X2LQ95,B8W66_20350,Uncharacterized protein,68,17733
A0A1X2LQP3,B8W66_19790,Chloride ion channel protein,428,17734
A0A1X2LR86,B8W66_18075,Cold-shock protein,67,17735
A0A1X2LUZ5,B8W66_11250,DoxX family protein,117,17736
A0A1X2LVM7,B8W66_12580,Polymerase/histidinol phosphatase N-terminal domain-containing protein,875,17737
A0A1X2LW59,trpE,Anthranilate synthase component 1,517,17738
A0A1X2LWT7,B8W66_08915,C2H2-type domain-containing protein,77,17739
A0A1X2LZJ1,B8W66_04070,Cell division protein DivIVA,306,17740
A0A1X2M0B9,B8W66_00755,Cyclase,227,17741
A0A1X2LT99,B8W66_14400,Acetyl-CoA acetyltransferase,382,17742
A0A1X2LPP3,B8W66_21110,DNA alkylation response protein,591,17743
A0A1X2LRF8,B8W66_18170,Helicase,685,17744
A0A1X2LPG0,B8W66_21430,Condensation domain-containing protein (Fragment),477,17745
A0A1X2LQF1,B8W66_22670,Uncharacterized protein,96,17746
A0A1X2LS92,B8W66_16560,CoA transferase,829,17747
A0A1X2LT35,B8W66_15050,Fatty-acid--CoA ligase,212,17748
A0A1X2LVZ2,B8W66_09210,Nitroreductase,148,17749
A0A1X2LXM6,B8W66_05320,Enoyl-CoA hydratase,276,17750
A0A1X2LYR0,B8W66_04615,Malonyl CoA-acyl carrier protein transacylase,277,17751
A0A1X2M295,B8W66_01290,Anti-sigma factor,145,17752
A0A1X2LQV1,B8W66_18885,Mammalian cell entry protein,410,17753
A0A1X2LXG3,B8W66_07135,Glycerol-3-phosphate dehydrogenase,520,17754
A0A1X2LPS7,B8W66_21140,Peptidase,410,17755
A0A1X2LQ94,B8W66_20625,N-acetyltransferase domain-containing protein,136,17756
A0A1X2LTC0,B8W66_14395,PPE family protein,135,17757
A0A1X2LUF3,B8W66_14850,3-ketoacyl-CoA thiolase,547,17758
A0A1X2LQB0,B8W66_19915,Carboxymethylenebutenolidase,178,17759
A0A1X2LCT7,B8W66_23885,Beta-ketoacyl synthase N-terminal domain-containing protein (Fragment),65,17760
A0A1X2LPG7,B8W66_21770,Uncharacterized protein,71,17761
A0A1X2LSK6,B8W66_15670,TetR family transcriptional regulator,216,17762
A0A1X2LSR1,B8W66_15165,MFS transporter,516,17763
A0A1X2LT60,B8W66_14985,Twin-arginine translocation pathway signal,198,17764
A0A1X2LW64,B8W66_08380,Amino acid adenylation protein,1308,17765
A0A1X2LXI8,B8W66_07055,Exonuclease SbcC,169,17766
A0A1X2LXS7,B8W66_07310,Integrase catalytic domain-containing protein,60,17767
A0A1X2M0B4,upp,Uracil phosphoribosyltransferase,207,17768
A0A1X2M0E1,B8W66_01370,carbonic anhydrase,748,17769
A0A1X2LSC2,B8W66_16355,Acyl-CoA dehydrogenase,301,17770
A0A1X2LSS5,B8W66_15960,PE domain-containing protein,76,17771
A0A1X2LV93,B8W66_10825,Exopolyphosphatase,563,17772
A0A1X2LNN1,B8W66_23235,SGNH hydrolase-type esterase domain-containing protein,314,17773
A0A1X2LY69,B8W66_05965,Phosphoesterase,139,17774
A0A1X2LR23,B8W66_18920,DUF732 domain-containing protein,121,17775
A0A1X2LRK4,larC,"Pyridinium-3,5-bisthiocarboxylic acid mononucleotide nickel insertion protein",387,17776
A0A1X2LS53,B8W66_16745,DEAD/DEAH box helicase,922,17777
A0A1X2LTY1,B8W66_16310,PE domain-containing protein (Fragment),233,17778
A0A1X2LUD4,B8W66_12620,GntR family transcriptional regulator,238,17779
A0A1X2LXP7,B8W66_05335,Diaminohydroxyphosphoribosylaminopyrimidine deaminase,362,17780
A0A1X2LXW1,B8W66_05740,PPE family protein,471,17781
A0A1X2LYW4,B8W66_05230,SAM-dependent methyltransferase,263,17782
A0A1X2LUP1,B8W66_12335,"3-(Cis-5,6-dihydroxycyclohexa-1, 3-dien-1-yl)propanoate dehydrogenase",269,17783
A0A1X2LT54,B8W66_15100,TetR family transcriptional regulator,178,17784
A0A1X2LQ37,B8W66_20380,Uncharacterized protein,188,17785
A0A1X2LQ82,B8W66_20395,"Enoyl-CoA hydratase domain-containing protein 3, mitochondrial",268,17786
A0A1X2LRQ5,B8W66_17410,Glycosyl transferase,497,17787
A0A1X2LSE0,B8W66_16215,Lactoylglutathione lyase,166,17788
A0A1X2LSS2,B8W66_15330,Acylaldehyde oxidase,722,17789
A0A1X2LT39,B8W66_15005,DUF4386 domain-containing protein,259,17790
A0A1X2LTA0,B8W66_14255,Glycoside hydrolase,179,17791
A0A1X2LTU4,B8W66_13355,Proline-rich 28 kDa antigen,311,17792
A0A1X2M067,B8W66_00595,Lipoprotein LpqH,164,17793
A0A1X2M115,B8W66_01910,Mucin,128,17794
A0A1X2LT91,B8W66_14250,DUF222 domain-containing protein (Fragment),146,17795
A0A1X2LVN7,B8W66_12635,Toxin,2601,17796
A0A1X2LNS3,B8W66_23085,R2-like ligand binding oxidase,314,17797
A0A1X2LP21,B8W66_22500,Metallo-beta-lactamase domain-containing protein,253,17798
A0A1X2LRA5,B8W66_18095,Uncharacterized protein,149,17799
A0A1X2LS42,B8W66_16905,Dolichol-phosphate mannosyltransferase,264,17800
A0A1X2LSW2,B8W66_15250,Peptide synthase,1398,17801
A0A1X2LV81,B8W66_13470,Hydrolase,399,17802
A0A1X2LWJ5,B8W66_08910,Metallopeptidase family protein,116,17803
A0A1X2LXB9,B8W66_08010,GntR family transcriptional regulator,268,17804
A0A1X2LYN8,B8W66_05255,Osmotically inducible protein C,135,17805
A0A1X2LZZ5,B8W66_00430,Hydantoinase,360,17806
A0A1X2M040,rpsI,Small ribosomal subunit protein uS9,159,17807
A0A1X2LR83,B8W66_18145,DUF222 domain-containing protein,103,17808
A0A1X2LVD6,B8W66_09790,Uncharacterized protein,76,17809
A0A1X2LQV7,B8W66_19160,Oxidoreductase,276,17810
A0A1X2LR07,B8W66_18995,Amidase,467,17811
A0A1X2M052,B8W66_00420,SAM-dependent methyltransferase,226,17812
A0A1X2LRG6,B8W66_17810,TIGR01777 family protein,458,17813
A0A1X2LUI0,B8W66_11940,DUF475 domain-containing protein,367,17814
A0A1X2LWP7,B8W66_07575,Aldehyde dehydrogenase,496,17815
A0A1X2LYG8,B8W66_04840,VWFA domain-containing protein,612,17816
A0A1X2LH00,B8W66_23690,Type VII secretion protein EccB (Fragment),269,17817
A0A1X2LNZ3,xerD,Tyrosine recombinase XerD,313,17818
A0A1X2LQD6,B8W66_19705,MFS transporter,344,17819
A0A1X2LS06,B8W66_17155,DUF3071 domain-containing protein,251,17820
A0A1X2LSD4,B8W66_16445,FAD-binding protein,540,17821
A0A1X2LSP5,B8W66_15680,Chorismate mutase,184,17822
A0A1X2LYV0,B8W66_05085,UPF0102 protein B8W66_05085,125,17823
A0A1X2LPQ1,B8W66_21180,Cytochrome,428,17824
A0A1X2LQX1,B8W66_19130,glutaryl-CoA dehydrogenase (ETF),399,17825
A0A1X2LTV0,B8W66_13570,Ester cyclase,141,17826
A0A1X2LUN4,B8W66_14375,Short-chain dehydrogenase/reductase,299,17827
A0A1X2LX53,B8W66_10410,Probable acetyl-CoA acetyltransferase,405,17828
A0A1X2LP09,B8W66_22380,Lysylphosphatidylglycerol synthetase family protein,321,17829
A0A1X2LT77,B8W66_14265,Adenylate/guanylate cyclase domain-containing protein,275,17830
A0A1X2LHN7,B8W66_23645,ESX secretion-associated protein EspG (Fragment),276,17831
A0A1X2LQ59,B8W66_20740,Peptidase C69,505,17832
A0A1X2LQK7,B8W66_19250,8-amino-7-oxononanoate synthase,586,17833
A0A1X2LT04,B8W66_14890,DUF4189 domain-containing protein,121,17834
A0A1X2LV98,B8W66_11245,Nitroreductase,139,17835
A0A1X2LXQ7,B8W66_07185,SHOCT domain-containing protein,238,17836
A0A1X2LRT3,B8W66_16955,RES domain-containing protein,153,17837
A0A1X2LMP8,B8W66_23335,Dimethylaniline monooxygenase,610,17838
A0A1X2LSK0,B8W66_16050,UsfY protein,91,17839
A0A1X2LTF0,B8W66_14580,GNAT family N-acetyltransferase,308,17840
A0A1X2LXG6,B8W66_07140,TetR family transcriptional regulator,189,17841
A0A1X2LQL1,B8W66_19570,Suppressor of fused protein (SUFU),197,17842
A0A1X2LN02,B8W66_23290,Tautomerase cis-CaaD-like domain-containing protein,142,17843
A0A1X2LP20,B8W66_22455,PE-PGRS family protein,61,17844
A0A1X2LQX8,B8W66_19030,NAD-dependent succinate-semialdehyde dehydrogenase,487,17845
A0A1X2LUC8,B8W66_12730,Cytochrome,395,17846
A0A1X2LV26,B8W66_11235,DNA-binding response regulator,247,17847
A0A1X2LX93,B8W66_10435,ATPase,150,17848
A0A1X2LYN6,B8W66_05065,Lactate 2-monooxygenase,390,17849
A0A1X2M095,B8W66_01075,Alpha/beta hydrolase,278,17850
A0A1X2LR68,B8W66_18905,Mammalian cell entry protein,188,17851
A0A1X2LZC3,B8W66_03735,Amidohydrolase,580,17852
A0A1X2LM54,B8W66_23435,Uncharacterized protein,126,17853
A0A1X2LM62,B8W66_23400,Uncharacterized protein (Fragment),64,17854
A0A1X2LMM6,B8W66_23340,Non-ribosomal peptide synthetase (Fragment),1862,17855
A0A1X2LRT1,B8W66_17405,Lipoprotein,146,17856
A0A1X2LTA2,B8W66_14475,Methyltransferase,282,17857
A0A1X2LW69,B8W66_08375,GntR family transcriptional regulator,220,17858
A0A1X2LXC3,B8W66_06850,Glutamine synthetase,478,17859
A0A1X2LXU5,B8W66_05715,[ribosomal protein uS5]-alanine N-acetyltransferase,176,17860
A0A1X2LP46,B8W66_22375,Glycosyltransferase RgtA/B/C/D-like domain-containing protein,535,17861
A0A1X2LSP2,B8W66_18160,PIN domain-containing protein,172,17862
A0A1X2LPZ4,B8W66_20670,Phytase,373,17863
A0A1X2LRS9,B8W66_17385,Methyltransferase,248,17864
A0A1X2LT86,B8W66_14865,ACT domain-containing protein,157,17865
A0A1X2LYC0,B8W66_06295,DoxX family protein,153,17866
A0A1X2LZF6,B8W66_03960,Translation initiation inhibitor,131,17867
A0A1X2LP60,B8W66_21885,ABM domain-containing protein,206,17868
A0A1X2LY94,B8W66_06350,PPE family protein,394,17869
A0A1X2LSY6,B8W66_14795,(2Fe-2S)-binding protein,429,17870
A0A1X2LNZ9,B8W66_22525,Type I modular polyketide synthase,1869,17871
A0A1X2LPE3,B8W66_21440,DUF732 domain-containing protein,132,17872
A0A1X2LQ45,B8W66_20765,SalK,288,17873
A0A1X2LRZ2,B8W66_17040,Acetyl-CoA carboxyl transferase,510,17874
A0A1X2LUQ2,B8W66_12255,asparagine synthase (glutamine-hydrolyzing),609,17875
A0A1X2LW31,rpmI,Large ribosomal subunit protein bL35,64,17876
A0A1X2LZ24,B8W66_02985,Twitching motility protein PilT,256,17877
A0A1X2M0Q0,B8W66_01570,Potassium transporter TrkA,160,17878
A0A1X2LV14,murT,Lipid II isoglutaminyl synthase (glutamine-hydrolyzing) subunit MurT,416,17879
A0A1X2LSA7,mhpB,"2,3-dihydroxyphenylpropionate/2,3-dihydroxicinnamic acid 1,2-dioxygenase",313,17880
A0A1X2LT40,B8W66_15485,DUF4389 domain-containing protein,198,17881
A0A1X2LXJ5,B8W66_06820,Putative 4-hydroxy-4-methyl-2-oxoglutarate aldolase,219,17882
A0A1X2LYL5,B8W66_05000,CsbD family protein,77,17883
A0A1X2M0Y1,B8W66_00210,DUF2332 domain-containing protein,325,17884
A0A1X2LXI5,B8W66_07265,Ion transporter,244,17885
A0A1X2LXL8,B8W66_07145,FAD-binding oxidoreductase,529,17886
A0A1X2LU72,B8W66_12570,Short-chain fatty acid transporter,473,17887
A0A1X2LNN8,B8W66_23070,Multidrug efflux pump Tap,408,17888
A0A1X2LRG8,B8W66_20665,Acyl-CoA oxidase,646,17889
A0A1X2LUM6,radA,DNA repair protein RadA,474,17890
A0A1X2LXP8,B8W66_05415,Enoyl-CoA hydratase,311,17891
A0A1X2LXR2,B8W66_07275,Excalibur calcium-binding domain-containing protein,82,17892
A0A1X2M011,B8W66_00185,nitrile hydratase,279,17893
A0A1X2LPW9,B8W66_21210,ClpX-type ZB domain-containing protein,122,17894
A0A1X2LYR3,B8W66_04580,3-oxoacyl-[acyl-carrier-protein] reductase MabA,248,17895
A0A1X2LFV7,B8W66_23780,Carrier domain-containing protein (Fragment),141,17896
A0A1X2LQT4,B8W66_19055,Monooxygenase,529,17897
A0A1X2LW23,B8W66_09715,Methyltransferase type 11 domain-containing protein,281,17898
A0A1X2LXZ7,B8W66_06060,3-oxoacyl-[acyl-carrier-protein] reductase MabA,262,17899
A0A1X2LWH7,B8W66_08935,LytTR family transcriptional regulator,394,17900
A0A1X2LPA8,B8W66_21900,Putative pre-16S rRNA nuclease,174,17901
A0A1X2LQ27,xseB,Exodeoxyribonuclease 7 small subunit,88,17902
A0A1X2LRE2,B8W66_18255,ER-bound oxygenase mpaB/mpaB'/Rubber oxygenase catalytic domain-containing prote,356,17903
A0A1X2LST4,B8W66_15925,Esterase,139,17904
A0A1X2LV66,B8W66_10845,Peptidase,62,17905
A0A1X2LZI7,B8W66_04005,Phosphate acetyltransferase,727,17906
A0A1X2LTT7,B8W66_13750,DUF4244 domain-containing protein,63,17907
A0A1X2LS91,B8W66_19405,Uncharacterized protein,179,17908
A0A1X2LT45,B8W66_15045,Fatty acid--CoA ligase,485,17909
A0A1X2LUM0,B8W66_12320,Aromatic-ring-hydroxylating dioxygenase subunit alpha,483,17910
A0A1X2LY61,B8W66_05630,Mce protein,219,17911
A0A1X2LYH9,truB,tRNA pseudouridine synthase B,310,17912
A0A1X2LPH7,B8W66_21690,Protein kinase domain-containing protein,1347,17913
A0A1X2LQV6,B8W66_19005,Asp/Glu racemase,239,17914
A0A1X2LUG4,B8W66_11885,Uncharacterized protein,192,17915
A0A1X2LRC0,B8W66_18650,6-bladed beta-propeller,481,17916
A0A1X2LTN2,B8W66_13770,Helicase,350,17917
A0A1X2LXK2,B8W66_09745,TetR family transcriptional regulator,214,17918
A0A1X2LY35,B8W66_05445,Isoniazid-inducible protein iniA,498,17919
A0A1X2LYG1,B8W66_05890,Epoxide hydrolase,296,17920
A0A1X2LYU6,B8W66_02665,Serine/arginine repetitive matrix protein 1,177,17921
A0A1X2LP38,B8W66_22515,Uncharacterized protein,95,17922
A0A1X2LPY3,B8W66_20945,Molecular chaperone (Fragment),547,17923
A0A1X2LXC6,B8W66_06910,Gfo/Idh/MocA-like oxidoreductase N-terminal domain-containing protein,311,17924
A0A1X2LZ22,B8W66_02935,IS30 family transposase,101,17925
A0A1X2LZP1,B8W66_02920,Forkhead-associated protein,129,17926
A0A1X2LR20,B8W66_18855,Ferredoxin,70,17927
A0A1X2M2E5,B8W66_02445,SnoaL-like domain-containing protein,204,17928
A0A1X2LYC4,recA,Protein RecA,350,17929
A0A1X2LVD7,B8W66_11095,Histidine kinase,120,17930
A0A1X2LWX5,B8W66_07565,Acyl dehydratase,180,17931
A0A1X2LWX9,B8W66_09960,ADP-ribose pyrophosphatase,184,17932
A0A1X2M0H7,B8W66_01555,RES domain-containing protein,248,17933
A0A1X2LNR0,B8W66_23045,8-oxoguanine deaminase,451,17934
A0A1X2LP42,B8W66_22295,Aldehyde dehydrogenase,454,17935
A0A1X2LQG8,B8W66_20020,Nitroreductase family deazaflavin-dependent oxidoreductase,151,17936
A0A1X2LQI5,B8W66_19585,ABC transporter permease,307,17937
A0A1X2LSZ7,B8W66_14775,Acyl-CoA dehydrogenase,362,17938
A0A1X2LZV4,B8W66_00180,RNA polymerase subunit sigma-24,177,17939
A0A1X2LQ32,B8W66_20835,RNA methyltransferase,195,17940
A0A1X2LTM8,B8W66_13975,Anti-anti-sigma factor,130,17941
A0A1X2LV73,B8W66_13395,DUF1707 domain-containing protein,292,17942
A0A1X2LX37,B8W66_08030,HNH endonuclease,122,17943
A0A1X2M134,B8W66_04145,DUF3151 domain-containing protein,141,17944
A0A1X2LT63,B8W66_14895,PE domain-containing protein,91,17945
