uniprot_id,gene_name,protein_name,seq_length
A0A2I7W3V1,CAB90_00569,Transmembrane protein,310
A0A2I7WAS8,CAB90_03186,Lysophospholipase,186
A0A2I7WDE9,CAB90_04152,Uncharacterized protein,81
A0A2I7WDG0,CAB90_04176,Uncharacterized protein,157
A0A916P9P0,ERS007739_04702,Uncharacterized protein,60
A0A916PCL5,ERS007739_03447,Nicotinate phosphoribosyltransferase,118
A0A655A5S0,senX,Two component sensor histidine kinase SenX3,65
A0A654T9E3,ERS007681_02191,nicotinate phosphoribosyltransferase,222
A0A654ZYY4,ERS027661_01579,Uncharacterized protein,63
A0A655AWT4,deoD_2,Purine nucleoside phosphorylase deoD-type,91
A0A655J5K5,pcd,aldehyde dehydrogenase (NAD(+)),246
A0A655JJF5,ERS007720_03756,Uncharacterized protein,133
A0A655JT29,ERS007741_04689,Phosphoglycerate mutase,98
A0A0U0QTE6,ERS007703_01200,Uncharacterized protein,82
A0A916LAU0,ERS007739_02072,Uncharacterized protein,239
A0A655DWV0,ERS007661_01332,Uncharacterized protein,199
A0A655HV76,ERS007679_01192,Uncharacterized protein,99
A0A655I454,ERS007679_02005,Putative integral membrane protein,516
A0A655J2V7,ileS,Isoleucyl-tRNA synthetase,108
A0A0T7PVH1,ERS007703_03162,Uncharacterized protein,61
A0A0U0S4T7,ERS007703_03767,Nitroreductase domain-containing protein,253
A0A0U0S6V5,ERS007703_03812,Exported repetitive protein PirG,112
A0A0U0SI89,ERS007703_04193,Uncharacterized protein,168
A0A0U0TJ23,ERS007703_05429,Uncharacterized protein,84
A0A654ZSX9,ERS027659_01537,Uncharacterized protein,105
A0A655ABR7,rpoB,DNA-directed RNA polymerase,347
A0A655AQK3,cyp121_2,Cytochrome P450 121 CYP121,100
A0A655AU28,ERS027661_04798,Conserved transmembrane protein,62
A0A655AWF1,ERS027646_04845,Membrane protein,115
A0A655JBG3,ERS007720_03058,Uncharacterized protein,127
A0A916LB56,ERS007739_02304,Exported repetitive protein PirG,78
A0A916LDF9,yrbE4A,Membrane protein YrbE4A,160
A0A654TXJ5,ERS007657_00786,Uncharacterized protein,51
A0A654U785,ERS007657_04064,Putative lipoprotein DSBF,75
A0A655AM89,gdh,NAD-dependent glutamate dehydrogenase,252
A0A655JIM0,ERS007720_03706,Secreted protein,96
A0A0U0R8A0,hemA_1,Glutamyl-tRNA reductase,241
A0A655ATR1,ERS027661_04668,Integral membrane protein YrbE3a,109
A0A655JJY4,ERS007741_03657,Uncharacterized protein,62
A0A0U0QL17,ERS007703_00396,Uncharacterized protein,155
A0A655AKV1,ERS027659_04109,Uncharacterized protein,77
A0A655AWP3,ugl,Unsaturated glucuronyl hydrolase,81
A0A655A6A0,ERS027661_02321,"Alkyl-dihydroxyacetonephosphate synthase, putative",123
A0A655A7M5,ERS027659_02523,Uncharacterized protein,162
A0A655ASE4,fadD24,Fatty-acid-CoA ligase,196
A0A655EMT2,carA,Carbamoyl phosphate synthase small subunit,128
A0A655A8H0,miaB,tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase,164
A0A9P1PCJ6,ERS053720_00019,"Conserved protein of uncharacterized function, PE-PGRS family protein PE_PGRS54",622
A0A916LAW3,ERS007739_02102,Uncharacterized protein,159
A0A916L897,ERS007739_00608,Uncharacterized protein,75
A0A916LF43,ERS007739_04225,Uncharacterized protein,66
A0A2I7WB56,CAB90_03339,Uncharacterized protein,52
A0A2I7WBI9,CAB90_03463,Uncharacterized protein,109
A0A2I7WC39,CAB90_03644,NAD-specific glutamate dehydrogenase,468
A0A916L841,ERS007739_00410,Uncharacterized protein,64
A0A916LI84,ERS007739_05302,Uncharacterized protein,90
A0A916PD27,ERS007739_04861,Uncharacterized protein,82
A0A654U5E0,ERS007657_03349,Transcriptional regulator,56
A0A655A5W6,ERS027646_00921,PPE family protein,225
A0A2I7W6S4,CAB90_01722,Uncharacterized protein,314
A0A2I7W7F6,vapB34,Antitoxin VapB34,70
A0A2I7WA61,CAB90_02949,Helix-turn-helix domain protein,242
A0A654T8J7,ERS007681_01796,Uncharacterized protein,189
A0A654TIS7,ERS007681_04493,von Willebrand factor type A,140
A0A654ZXM0,dhbF,Peptide synthetase,792
A0A2I7W5W2,CAB90_01360,Uncharacterized protein,298
A0A916LFT6,arsC,Arsenic-transport integral membrane protein ArsC,71
A0A916PHC9,ERS007739_04582,Uncharacterized protein,65
A0A916LBA9,ERS007739_02396,Uncharacterized protein,90
A0A654T625,ERS007681_00603,Hydrolase,83
A0A0T9FPL6,ERS007703_05413,Uncharacterized protein,89
A0A0U0QL72,ERS007703_00457,Uncharacterized protein,229
A0A0U0QY91,ERS007703_01530,Transposase,91
A0A655JJS4,ERS007679_04615,Uncharacterized protein,110
A0A0U0S849,secD,Protein translocase subunit SecD,402
A0A0U0SIU2,ERS007703_04221,Uncharacterized protein,71
A0A916LEV3,embA,Integral membrane indolylacetylinositol arabinosyltransferase EmbA (Arabinosylin,116
A0A655A3Z1,ERS027646_00613,Conserved membrane protein of uncharacterized function,87
A0A655AN78,ERS027661_04753,Fido domain-containing protein,169
A0A655ANZ3,ERS027659_04226,Drug transporter,101
A0A655ATI5,ERS027646_04080,LuxR family transcriptional regulator,134
A0A655AUP1,ERS027646_04335,Uncharacterized protein,51
A0A655FXK5,PE_PGRS11,PE-PGRS family protein,74
A0A655IIK8,ERS007720_01259,TetR family transcriptional regulator,107
A0A655JL23,ERS007679_04667,Secreted protein,136
A0A655JMB7,ERS007741_03959,Conserved membrane protein of uncharacterized function,55
A0A655JQ75,ERS007741_04269,Uncharacterized protein,159
A0A655JR47,ERS007720_04508,Uncharacterized protein,53
A0A0U0QNJ1,ERS007703_00757,Uncharacterized protein,216
A0A0U0QQQ9,ERS007703_01003,Uncharacterized protein,69
A0A655ABU9,ERS027659_03178,Uncharacterized protein,132
A0A655AY96,rpmE_2,50S ribosomal protein L31,51
A0A655IUA6,fadD33,Polyketide synthase,335
A0A655IYE5,ERS007679_03443,PPE family protein,92
A0A654U7J8,ERS007657_03668,Uncharacterized protein,82
A0A655AYB6,pknD_2,Conserved membrane protein of uncharacterized function,66
A0A655FPX7,ERS007661_03304,Uncharacterized protein,58
A0A655IYX5,serB2_1,Phosphoserine phosphatase,227
A0A0T9AT15,frdA_2,Succinate dehydrogenase,442
A0A0U0QNF4,ERS007703_00724,Uncharacterized protein,87
A0A0U0SJW0,ERS007703_04350,Trans-acting enoyl reductase,51
A0A916L835,ERS007739_00395,Uncharacterized protein,54
A0A916LBU5,ERS007739_02591,Catechol-O-methyltransferase,58
A0A916LG09,ERS007739_04731,2-nitropropane dioxygenase,102
A0A655AFX1,ERS027661_03956,Long-chain acyl-CoA synthetase,152
A0A655AMW9,ERS027646_04106,Secreted protein,67
A0A655AVQ7,ERS027661_04849,PPE family protein,83
A0A655FVD1,ndh,NADH:ubiquinone reductase (non-electrogenic),223
A0A655I6Z2,ERS007741_00124,Uncharacterized protein,311
A0A655IZQ2,ERS007720_02173,Uncharacterized protein,90
A0A655JTS3,ERS007720_04984,Uncharacterized protein,80
A0A655AIE2,ERS027659_03877,Cationic amino acid transport integral membrane protein,135
A0A0U0SC66,ERS007703_04077,Uncharacterized protein,65
A0A0U0QTB4,ERS007703_01282,Uncharacterized protein,122
A0A0U0QV34,ERS007703_01443,Uncharacterized protein,90
A0A0U0QSB8,ERS007703_01501,Uncharacterized protein,132
A0A0U0R7X1,ERS007703_02200,Uncharacterized protein,115
A0A0U0RKL1,ERS007703_02782,Putative transcriptional regulatory protein,81
A0A0T9VP75,ERS027646_00799,SecC motif-containing protein,379
A0A654TTG5,ERS007688_04210,Transmembrane protein,53
A0A654ZXA6,ERS027646_00512,Secreted protein,83
A0A655AKC1,ERS027659_04225,Uncharacterized protein,146
A0A655AVZ8,ERS027646_04427,REP13E12 repeat-containing protein,173
A0A655DZR1,pks,Polyketide synthase Pks13 (Termination polyketide synthase),265
A0A655EW33,ERS007661_02187,PPE family protein,60
A0A655I1F0,ERS007720_00220,Uncharacterized protein,79
A0A655J141,cofC,Conserved hypothetical alanine rich protein,95
A0A655A6K9,dxs_3,1-deoxy-D-xylulose-5-phosphate synthase,256
A0A655ARD4,ERS027646_04709,Secreted protein,125
A0A655I741,ERS007741_00218,Pyridine nucleotide-disulfide oxidoreductase domain-containing protein 2,727
A0A655ALC0,ERS027661_04027,Uncharacterized protein,134
A0A2I7W5F9,CAB90_01191,Nucleotidyl transferase AbiEii/AbiGii toxin family protein,255
A0A9P1PDP3,polC,"Exonuclease, DNA polymerase III, epsilon subunit",276
A0A916LBC5,ERS007739_02418,Uncharacterized protein,61
A0A916LDS9,ERS007739_03514,Uncharacterized protein,93
A0A916PBA2,ERS007739_01636,Uncharacterized protein,86
A0A916L8H7,lgrD,AMP-binding protein,153
A0A916LDM2,ERS007739_03210,Uncharacterized protein,81
A0A916PB93,ERS007739_01946,Uncharacterized protein,71
A0A916LIM7,ERS007739_05653,Uncharacterized protein,58
A0A2I7W696,CAB90_01522,Non-canonical purine NTP pyrophosphatase,204
A0A2I7W748,CAB90_01822,Uncharacterized protein,137
A0A2I7W8C2,CAB90_02289,Uncharacterized protein,208
A0A2I7WA43,CAB90_02894,Uncharacterized protein,143
A0A916L7B4,ERS007739_00101,Oxygenase,98
A0A916L8R9,glnA3,Glutamine synthetase,221
A0A916L8F1,gadB,glutamate decarboxylase,268
A0A916PA50,ERS007739_05173,Uncharacterized protein,62
A0A916PG55,ERS007739_01015,Uncharacterized protein,112
A0A2I7W3D8,CAB90_00448,DUF222 domain-containing protein,63
A0A2I7W8U0,CAB90_02485,Uncharacterized protein,115
A0A2I7WDL0,panC,Pantothenate synthetase,309
A0A2I7W577,CAB90_00984,Uncharacterized protein,218
A0A2I7WDE2,CAB90_04142,Ligase,98
A0A2I7WDY6,CAB90_04154,Uncharacterized protein,70
A0A916L7G9,ERS007739_00198,Uncharacterized protein,50
A0A654TAK1,acrA1,Multi-functional enzyme with acyl-CoA-reductase activity ACRA1,337
A0A654TQ98,ERS007688_02740,PhiRv2 prophage protein,208
A0A654U682,ERS007657_04039,ATP-dependent DNA helicase,89
A0A2I7WCH7,iunH,Nucleoside hydrolase,160
A0A916L9V0,ERS007739_01358,Uncharacterized protein,78
A0A916LAA1,ERS007739_01615,Uncharacterized protein,79
A0A916LG06,pfkB,Phosphofructokinase,109
A0A916PAJ6,ERS007739_00969,Uncharacterized protein,55
A0A916PBT9,ERS007739_02322,Uncharacterized protein,168
A0A654TH02,ERS007681_04282,Uncharacterized protein,224
A0A654U226,ERS007657_02170,Uncharacterized protein,62
A0A654U810,ERS007657_04677,Uncharacterized protein,62
A0A654TQI6,ERS007688_03016,Uncharacterized protein,109
A0A654TZT4,ERS007657_01581,Uncharacterized protein,74
A0A654TTH9,ERS007688_04136,Uncharacterized protein,101
A0A654U7Y1,gadX,Transcriptional regulator,97
A0A654U8F7,ERS007657_04640,Uncharacterized protein,52
A0A916LCJ6,ERS007739_03071,Uncharacterized protein,54
A0A916LCJ9,ERS007739_02967,Uncharacterized protein,68
A0A916P891,PPE61,PPE family protein,68
A0A654U1G8,wbbL,"dTDP-rha:a-D-glcnac-diphosphoryl polyprenol, a-3-L-rhamnosyl transferase wbbL1",82
A0A654U224,ERS007657_02343,Uncharacterized protein,60
A0A654U8K7,ERS007657_04734,Uncharacterized protein,62
A0A655AP27,ERS027661_04259,Uncharacterized protein,72
A0A654TUW4,ERS007688_04674,Uncharacterized protein,64
A0A654U6K6,rplL,50S ribosomal protein L7/L12,51
A0A655A2Z3,ERS027646_01289,Probable conserved membrane protein,193
A0A655AP40,ERS027659_04952,Uncharacterized protein,111
A0A655AHN8,katG_2,Catalase-peroxidase-peroxynitritase,54
A0A0U0SZ59,ctaB,Cytochrome C oxidase assembly factor,82
A0A916LD99,ERS007739_03496,Transposase,104
A0A916LD78,ERS007739_03398,Uncharacterized protein,59
A0A0U0RDI6,ERS007703_02404,Uncharacterized protein,56
A0A0U0SJ98,ERS007703_04251,Uncharacterized protein,53
A0A0U0TDT9,ERS007703_05314,Uncharacterized protein,131
A0A0U0RHV1,ERS007703_02651,Zinc metalloprotease Rip1,107
A0A916PDB3,gadX,Transcriptional regulator,140
A0A655AHQ3,glgC,Glucose-1-phosphate adenylyltransferase,317
A0A916P848,ERS007739_02321,Uncharacterized protein,126
A0A655AWN8,ERS027646_04713,Uncharacterized protein,104
A0A655HW51,ERS007679_01176,Uncharacterized protein,61
A0A655J6V0,ERS007720_02810,Uncharacterized protein,51
A0A654ZWI6,ERS027661_01044,Uncharacterized protein,141
A0A655A7L2,ERS027646_01922,"Conserved protein of uncharacterized function, possible phage protein",365
A0A0U0R5Z1,ispD_1,4-diphosphocytidyl-2C-methyl-D-erythritol synthase,98
A0A654ZVZ8,ERS027661_01768,Uncharacterized protein,201
A0A655A4U9,ERS027659_02852,Uncharacterized protein,229
A0A655ARM6,ERS027661_04464,Uncharacterized protein,71
A0A655ASI8,ERS027646_04941,Glutamine ABC transporter ATP-binding protein,70
A0A655AU94,ERS027646_04420,Phytanoyl-CoA dioxygenase,129
A0A655HU09,ERS007679_00998,Secreted protein,94
A0A655I6V2,ERS007741_00153,Gluconeogenesis factor,142
A0A655JM28,bioA,Adenosylmethionine-8-amino-7-oxononanoate aminotransferase bioA,320
A0AA44RLF5,A4S10_02279,PE-PGRS family protein,390
A0A655AL26,tig,Trigger factor,139
A0A655ASG3,ERS027661_04637,Integral membrane protein,191
A0A655CG78,ERS007661_00078,Uncharacterized protein,84
A0A655FWE8,ERS007661_03778,Conserved protein of uncharacterized function with PIN domain,90
A0A655I717,cya_1,Adenylyl cyclase,143
A0A655IXG4,ERS007741_01979,Uncharacterized protein,52
A0A655J0R9,lpdA_1,Flavoprotein disulfide reductase,227
A0A655IIF4,ERS007741_01006,Uncharacterized protein,272
A0A655IWC7,ERS007720_02079,Uncharacterized protein,103
A0A655AL24,folP2,Dihydropteroate synthase,190
A0A655AP85,ERS027661_04589,Uncharacterized protein,60
A0A655EEU3,ERS007661_01741,Uncharacterized protein,300
A0A655HZ22,ERS007679_01589,Uncharacterized protein,185
A0A655I4S2,ERS007741_00121,Uncharacterized protein,95
A0A655I525,plsB,Acyltransferase plsB1,333
A0A655IX18,ERS007720_02001,Uncharacterized protein,101
A0A655JPX8,ERS007741_04301,Uncharacterized protein,196
A0A655JQL0,ERS007720_04492,Uncharacterized protein,227
A0A655JT49,ERS007741_04779,TetR family transcriptional regulatory protein,142
A0A655ICT2,ctpA_2,Cation transporter p-type ATPase a,144
A0A916P9F6,ERS007739_04337,Uncharacterized protein,52
A0A2I7WD27,CAB90_04019,Hydrolase,167
A0A916LCN3,ERS007739_02144,Uncharacterized protein,76
A0A916LES3,ERS007739_03971,Uncharacterized protein,155
A0A916LEM3,ERS007739_04013,Uncharacterized protein,87
A0A2I7WDK4,CAB90_04225,Uncharacterized protein,84
A0A2I7W2V2,CAB90_00252,Methyltransferase,100
A0A916LCE9,ERS007739_02722,Uncharacterized protein,61
A0A2I7W8X7,kasB,3-oxoacyl-ACP synthase 2,417
A0A2I7WDW8,espK_1,ESX-1 secretion-associated protein EspK,215
A0A916L8M2,ERS007739_00837,Uncharacterized protein,53
A0A916PDE6,ERS007739_05436,Uncharacterized protein,75
A0A916L903,ERS007739_00790,Uncharacterized protein,115
A0A916LHD9,ERS007739_05585,PPE family protein,59
A0A916P9L7,upp,Uracil phosphoribosyltransferase,53
A0A916PGW6,ERS007739_03278,Uncharacterized protein,70
A0A2I7W4T2,CAB90_00833,Uncharacterized protein,106
A0A2I7W5J1,CAB90_01225,Uncharacterized protein,231
A0A2I7W6F3,CAB90_01547,Membrane protein,209
A0A2I7W822,CAB90_02199,Mce associated membrane protein,191
A0A2I7WA19,CAB90_02927,Uncharacterized protein,131
A0A2I7WD74,CAB90_04072,Uncharacterized protein,109
A0A654U1Z8,xthA,Exodeoxyribonuclease III,224
A0A654U2K7,ERS007657_02540,Putative methyltransferase,111
A0A654U7Z7,ERS007657_04289,Uncharacterized protein,57
A0A654ZT70,ERS027661_00735,Drug efflux membrane protein,265
A0A916LGQ5,ERS007739_05165,Oxidoreductase,54
A0A916P9J7,ERS007739_04518,Uncharacterized protein,61
A0A916PDF7,ERS007739_05515,Uncharacterized protein,59
A0A654TQR8,ERS007688_02925,Uncharacterized protein,63
A0A654U473,ERS007657_03064,Uncharacterized protein,95
A0A654ZZQ0,ERS027661_01715,Transmembrane protein,268
A0A655AEB6,ERS027659_03314,Conserved membrane protein of uncharacterized function,386
A0A655JL86,ERS007720_03972,Uncharacterized protein,83
A0A916LAK9,ERS007739_01864,Uncharacterized protein,164
A0A916P9H9,ERS007739_04369,Uncharacterized protein,66
A0A916PBK2,ERS007739_02020,Uncharacterized protein,56
A0A654TD45,yjcE,Transporter YjcE,98
A0A654TK80,ERS007681_04627,Uncharacterized protein,183
A0A655AEU4,nrdF,ribonucleoside-diphosphate reductase,168
A0A0U0QNU0,ERS007703_00753,Uncharacterized protein,195
A0A0U0R7C8,ERS007703_02107,Uncharacterized protein,70
A0A0U0SGU4,ERS007703_02925,Uncharacterized protein,88
A0A0U0SRF7,ERS007703_02090,Uncharacterized protein,100
A0A0U0RZC4,ERS007703_05301,Uncharacterized protein,64
A0A654U581,ugpC,Sn-glycerol-3-phosphate transport ATP-binding protein ABC transporter UGPC,169
A0A654U7G7,ERS007657_04286,Uncharacterized protein,75
A0A654U823,ERS007657_04518,"Conserved protein of uncharacterized function with PIN domain, possible toxin",60
A0A655AE02,ERS027646_02837,Integral membrane protein,51
A0A655AWK7,ERS027646_04480,Uncharacterized protein,282
A0A0U0QPU3,ERS007703_00883,Uncharacterized protein,52
A0A9P1LGV2,ERS053720_03837,PE-PGRS family protein,290
A0A654ZT49,ERS027661_01103,Exported repetitive protein PirG,103
A0A655A8D4,groL1,60 kDa chaperonin,271
A0A655AL86,gdh_2,NAD-dependent glutamate dehydrogenase,159
A0A655HKL1,PE1_1,PE family protein,260
A0A655INS2,ERS007679_02959,PE PGRS family protein,92
A0A655JF16,thiG,Thiazole synthase,254
A0A655JPV5,cobU,Adenosylcobinamide kinase,61
A0A654U997,ERS007657_04364,Uncharacterized protein,66
A0A655FQ01,fadD24,Fatty-acid-CoA ligase,62
A0A655J8A9,ERS007679_03966,Secreted protein,216
A0A0U0QUJ6,ERS007703_01410,Uncharacterized protein,130
A0A0U0T8Y4,ERS007703_05155,Uncharacterized protein,108
A0A0U0RFF7,ERS007703_02508,Secreted protein,65
A0A0U0TCS3,ERS007703_05251,Uncharacterized protein,58
A0A655GHN1,ERS007661_04418,Fido domain-containing protein,149
A0A655A286,ERS027659_01840,Uncharacterized protein,77
A0A655HZJ7,ERS007679_01648,Short-chain dehydrogenase of uncharacterized substrate specificity,149
A0A655ILJ0,ERS007679_02867,Uncharacterized protein,73
A0A0U0QWV3,ERS007703_01474,Uncharacterized protein,84
A0A0U0T6P8,dac,D-alanyl-D-alanine carboxypeptidase,138
A0A655IMI3,ERS007741_01167,Uncharacterized protein,77
A0A655IYC3,ERS007720_02212,Putative lipoprotein,161
A0A654ZM89,ERS027659_00530,Uncharacterized protein,94
A0A655AI43,ERS027661_03816,Transposase,88
A0A655I145,ERS007720_00065,Polyketide cyclase,127
A0A655IG35,ERS007741_00746,Uncharacterized protein,144
A0A655ITA8,ERS007679_03259,Transmembrane protein,185
A0A655J1B7,xthA,Exodeoxyribonuclease III,154
A0A655JT15,ERS007741_04750,Uncharacterized protein,63
A0A655A848,ERS027646_01051,Uncharacterized protein,205
A0A655AWW6,recN,DNA repair protein RecN,71
A0A9P1LA32,PE_PGRS26,PE-PGRS family protein,230
A0A655A998,PPE62,PPE family protein,458
A0A655AT58,dxr,1-deoxy-D-xylulose 5-phosphate reductoisomerase,300
A0A655AXK6,mmpL7,Transmembrane transport protein MmpL7,96
A0A655FX89,fadD35,Fatty-acid-CoA ligase,116
A0A655I030,ERS007720_00042,Phosphotransferase,59
A0A655IRK8,ERS007741_01550,GLTT repeat protein,129
A0A655JKA8,ERS007741_03727,Uncharacterized protein,313
A0A655JPA7,embB,Indolylacetylinositol arabinosyltransferase,506
A0A655JQ34,PPE13,PPE family protein,268
A0A654U3J5,ERS007657_02904,Uncharacterized protein,69
A0A655AII8,hemA,Glutamyl-tRNA reductase,185
A0A0U0S454,ERS007703_03760,Uncharacterized protein,69
A0A655ALZ0,ERS027646_03908,Secreted protein,88
A0A655FQ11,ERS007661_03372,Uncharacterized protein,191
A0A655IC20,ERS007741_00585,Uncharacterized protein,100
A0A655JA52,ERS007720_02946,Uncharacterized protein,97
A0A655JLY7,ERS007679_04683,Secreted protein,75
A0A2I7W311,CAB90_00257,Uncharacterized protein,96
A0A2I7W9V4,CAB90_02847,ERCC4 domain-containing protein,226
A0A2I7W530,CAB90_01069,Uncharacterized protein,122
A0A2I7WB44,PE27,PE family protein PE27,275
A0A916LDM5,ERS007739_03439,Uncharacterized protein,134
A0A916LEU7,ERS007739_04072,Uncharacterized protein,58
A0A916P6H3,ERS007739_00103,Uncharacterized protein,69
A0A916P9Z9,ERS007739_00347,Secreted protein,119
A0A916LDQ8,ERS007739_03739,"Glycosyl transferase, group 4 family protein",59
A0A916LF46,ERS007739_03662,Uncharacterized protein,140
A0A654TRA4,cydC,ABC transporter ATP-binding protein,90
A0A2I7W4V6,CAB90_00993,Uncharacterized protein,118
A0A2I7W5X7,PE14,PE family protein PE14,81
A0A2I7W8W1,CAB90_02492,Transposase,147
A0A2I7W9M9,rpmA,Large ribosomal subunit protein bL27,86
A0A916L7P0,ERS007739_00261,Uncharacterized protein,80
A0A2I7WBI3,CAB90_03443,Uncharacterized protein,52
A0A916LCY5,ERS007739_02894,Uncharacterized protein,146
A0A916LF33,ERS007739_04351,Uncharacterized protein,145
A0A654T7B1,ERS007681_01347,"Cullin, a subunit of E3 ubiquitin ligase",276
A0A654U0M8,ERS007657_01886,Uncharacterized protein,238
A0A654U5H3,ftsY,Signal recognition particle receptor FtsY,248
A0A654U6U6,ERS007657_04062,Lysophospholipase,83
A0A654ZTF6,oplA,5-oxoprolinase OplA (5-oxo-l-prolinase) (Pyroglutamase) (5-opase),688
A0A655AP49,ERS027646_04322,Conserved glycine rich membrane protein,100
A0A655AU95,ERS027661_04911,Uncharacterized protein,122
A0A2I7W2B8,CAB90_00056,DUF5318 domain-containing protein,144
A0A2I7W9P9,CAB90_02793,Uncharacterized protein,305
A0A2I7WAE1,CAB90_03061,Uncharacterized protein,103
A0A2I7WDH3,CAB90_04194,Uncharacterized protein,114
A0A916L822,ERS007739_00534,Uncharacterized protein,61
A0A916L9P6,ERS007739_01280,Uncharacterized protein,52
A0A916LDU9,nuoM,NADH dehydrogenase subunit M,146
A0A916PAV5,ERS007739_01411,Uncharacterized protein,121
A0A654TCD3,ERS007681_03246,TVP38/TMEM64 family membrane protein,100
A0A654U374,ppe_2,"Conserved protein of uncharacterized function, PPE family, PPE38-like protein (P",117
A0A654U630,ERS007657_03859,Uncharacterized protein,74
A0A655AWT2,ERS027661_04957,"Conserved protein of uncharacterized function with PIN domain, possible toxin",74
A0A655JR52,limA,Epoxide hydrolase,301
A0A655FXC2,lipI,Lipase,58
A0A655FXQ7,ERS007661_03986,Uncharacterized protein,97
A0A655JNR5,ERS007741_04088,Nucleotidyl transferase AbiEii/AbiGii toxin family protein,132
A0A916L9E2,ERS007739_01230,"Metal-binding protein, possibly nucleic-acid binding protein",101
A0A916LDN3,ERS007739_03709,Uncharacterized protein,63
A0A916LFT4,ERS007739_04968,Uncharacterized protein,126
A0A916PAQ2,ERS007739_00770,Uncharacterized protein,103
A0A916PDM1,ERS007739_05205,Uncharacterized protein,52
A0A654TV16,ERS007688_04661,Uncharacterized protein,112
A0A654TVF9,ERS007688_04625,Uncharacterized protein,194
A0A654TYV7,ERS007657_01231,Transmembrane alanine and glycine rich protein,461
A0A654U554,rsbW,Anti-sigma factor,96
A0A655AHL9,lipT,Carboxylesterase,181
A0A655FZV0,ERS007661_04669,"Hydrolase, nudix family protein",77
A0A0U0QPP1,ERS007703_00672,Uncharacterized protein,135
A0A0U0QN39,ERS007703_00545,Uncharacterized protein,80
A0A916LAQ9,ERS007739_01985,Uncharacterized protein,82
A0A916LBD9,ERS007739_02450,Uncharacterized protein,58
A0A916LBQ5,ERS007739_02645,Uncharacterized protein,73
A0A916LGA5,ERS007739_04252,Uncharacterized protein,62
A0A916PH44,ERS007739_03901,Uncharacterized protein,111
A0A654T724,ctpF_1,Metal cation transporter P-type ATPase A ctpF,110
A0A654TSR4,ERS007688_03673,TVP38/TMEM64 family membrane protein,106
A0A654TTH1,ERS007688_04134,DUF5318 domain-containing protein,147
A0A654U2F0,ERS007657_02480,Uncharacterized protein,88
A0A654T903,ERS007681_02024,Uncharacterized protein,328
A0A655FXS6,ERS007661_04002,Uncharacterized protein,68
A0A655FXV8,ERS007661_04008,Uncharacterized protein,185
A0A2I7W436,CAB90_00656,Uncharacterized protein,159
A0A2I7W2F2,CAB90_00099,Methyltransferase,197
A0A2I7WBW8,CAB90_03598,Uncharacterized protein,93
A0A2I7WCC8,nagA,N-acetylglucosamine-6-phosphate deacetylase NagA,99
A0A655A6G3,yjcE,Transporter YjcE,323
A0A655ANM1,ERS027661_04341,Uncharacterized protein,71
A0A655AYR1,ERS027646_04980,Uncharacterized protein,59
A0A655F697,ERS007661_02563,Uncharacterized protein,67
A0A655FVV5,metZ,O-succinylhomoserine sulfhydrylase,195
A0A655I7C6,ERS007741_00292,Uncharacterized protein,68
A0A654U943,ERS007657_04304,Uncharacterized protein,107
A0A655J0T8,ERS007720_02292,Recombinase B,70
A0A916LA50,ERS007739_01523,Uncharacterized protein,91
A0A654TKB2,ERS007688_01388,Uncharacterized protein,52
A0A916L819,thrS,threonine--tRNA ligase,300
A0A916LGT3,ERS007739_05202,Transposase,102
A0A654TC07,ERS007681_03008,Putative secreted protein,229
A0A916LAA8,ERS007739_01384,Uncharacterized protein,68
A0A916PAG9,ERS007739_00497,Uncharacterized protein,120
A0A0U0QNG2,ERS007703_00575,Uncharacterized protein,113
A0A0U0SBB0,ERS007703_04040,Secreted protein,138
A0A654ZU56,lppZ,"Conserved lipoprotein of uncharacterized function, LppZ",176
A0A654ZVD4,ERS027661_00905,Amidohydrolase,200
A0A655ALC1,glkA,Sugar kinase,160
A0A655DT16,ctpE,ATPase P,574
A0A655JJC6,proA,Gamma-glutamyl phosphate reductase,173
A0A655JT87,lipF,Esterase/lipase LIPF,88
A0A655ADU3,ERS027661_03501,Conserved alanine-rich protein of uncharacterized function,142
A0A655AT81,upp,Uracil phosphoribosyltransferase,118
A0A655AYI0,ERS027646_04990,2'-5' RNA ligase,77
A0A655F873,ERS007661_02603,Zinc-binding dehydrogenase,62
A0A655G023,ERS007661_04544,TetR family transcriptional regulator,67
A0A916PCR1,ERS007739_03644,Uncharacterized protein,94
A0A2I7W8Y3,cobD,Cobalamin biosynthesis protein CobD,159
A0A2I7WAB7,CAB90_03031,Uncharacterized protein,112
A0A2I7WCG8,CAB90_03791,Uncharacterized protein,93
A0A916LD16,ERS007739_03132,Uncharacterized protein,123
A0A654TXM6,ERS007657_00791,Glycosyltransferase,170
A0A654TYI9,calB,Aldehyde dehydrogenase (NAD+) dependant,327
A0A654U5B6,ERS007657_03549,Uncharacterized protein,83
A0A655AW65,ERS027646_04466,Uncharacterized protein,92
A0A916LCB5,ERS007739_02950,Uncharacterized protein,104
A0A916LCC4,mmsA_2,Methylmalonate-semialdehyde dehydrogenase,60
A0A916LFU0,ERS007739_04927,Secreted protein,88
A0A916PC37,ERS007739_03202,Uncharacterized protein,70
A0A2I7W468,CAB90_00744,Uncharacterized protein,88
A0A2I7W538,lpqQ,Lipoprotein LpqQ,171
